Site/ Sol Id*	Bank Name	Pin code 	City*	State	Branch*	Address	Amc Start date*	UPS Cap	Qty	Amc Expiry Date
P3ENCE85	HDFC Bank	600056	Chennai	Tamil Nadu	Tamilnadu	No2 Rukmani Nagar main Road Poonamallee Chennai - 600056	01-04-2022			31-03-2023
P3ENCE84	HDFC Bank	600116	Chennai	Tamil Nadu	Tamilnadu	old 117 New No 8 4th Avenue Metro Nagar Main Road Alappakkam Chennai 600116	01-04-2022			31-03-2023
P3ENPE39	HDFC Bank	411036	Pune	Maharashtra	Maharashtra	Sr No 5/3/7 Keshav Nagar Nr Bhandari Complex Mundhwa Pune 411036	01-04-2022			31-03-2023
P3ENMD25	HDFC Bank	631501	Kanchipuram	Tamil Nadu	Tamilnadu	237 Indira Nagar Chengelpet Main road Chinna Kanchipuram-631501	01-04-2022			31-03-2023
P3ENSE08	HDFC Bank	636001	Salem	Tamil Nadu	Tamilnadu	8/10  Veeranam main road Ponnammapettai Salem - 636001	01-04-2022			31-03-2023
P3ENDI34	HDFC Bank	100059	Delhi	Delhi	Delhi	HNO- MS-1 OPP MOHAN GARDEN POLICE STATION & P-BLOCK BARAT GHAR MOHAN GARDEN UTTAM NAGAR ND-59	01-04-2022			31-03-2023
P3ENMD23	HDFC Bank	600 071	Chennai	Tamil Nadu	Tamilnadu	Mahindra Lifespace Developers Ltd 5th Cross Street VGN Royal Enclave Extension Off Poonamallee-Avadi High Road Paruthipattu Avadi Chennai -600 071	01-04-2022			31-03-2023
P3ENMD21	HDFC Bank	600107	Chennai	Tamil Nadu	Tamilnadu	No 37b NT Patel road Nerkundram Chennai- 600107	01-04-2022			31-03-2023
P3ENTU01	HDFC Bank	635601	Thirupathur	Tamil Nadu	Tamilnadu	No389 Pudupetttai Main Road Thirupathur -635601	01-04-2022			31-03-2023
P3ENHS05	HDFC Bank	635126	Hosur	Tamil Nadu	Tamilnadu	No406-8SLV Nagar Opp Ashok Leyland Unit  1 Zuzuwadi Hosur - 635126	01-04-2022			31-03-2023
P3ENKT05	HDFC Bank	324009	Kota	Rajasthan	Rajasthan	37Tulsi MarketCAD CircleKota -324009	01-04-2022			31-03-2023
P3ENHE20	HDFC Bank	500053	Hyderabad	Telangana	Andhra Pradesh	HNo 19-2-26/A/3/R Phool Bagh Near Akber Function Hall Hyderabad  500053	01-04-2022			31-03-2023
PUON8034	Kotak Bank	411017	Pune	Maharashtra	Maharashtra	Milkat No 1/5 Pimprigoan pune maharashtra -411017	01-04-2022			31-03-2023
P3ENSG11	HDFC Bank	416416	Sangli	Maharashtra	Maharashtra	Sr No 10973/71/A Shop No4 Saidatta Complex 100 FT road Nr D-Mart Sangli 416416	01-04-2022			31-03-2023
